Country,Birth_Rate
Afghanistan,34.2
Albania,13.4
Algeria,24.3
American Samoa,..
Andorra,..
Angola,45.5
Antigua and Barbuda,16.3
Argentina,17.5
Armenia,13.2
Aruba,10.1
Australia,12.9
Austria,9.6
Azerbaijan,17.9
"Bahamas, The",15.2
Bahrain,14.6
Bangladesh,19.8
Barbados,12.1
Belarus,12.5
Belgium,11.1
Belize,22.9
Benin,36
Bermuda,10.5
Bhutan,17.7
Bolivia,23.9
Bosnia and Herzegovina,8.9
Botswana,25
Brazil,14.7
Brunei Darussalam,16
Bulgaria,9.4
Burkina Faso,40
Burundi,43.9
Cabo Verde,21.4
Cambodia,24.1
Cameroon,36.7
Canada,10.9
Cayman Islands,..
Central African Republic,33.8
Chad,45.3
Channel Islands,9.5
Chile,13.2
China,12.4
Colombia,15.8
Comoros,33.9
"Congo, Dem. Rep.",42
"Congo, Rep.",36.5
Costa Rica,14.8
Cote d'Ivoire,37.1
Croatia,9.3
Cuba,10.2
Curacao,12.6
Cyprus,11.3
Czech Republic,10.4
Denmark,10.1
Djibouti,25.1
Dominica,..
Dominican Republic,20.9
Ecuador,20.8
"Egypt, Arab Rep.",27.8
El Salvador,17.3
Equatorial Guinea,35
Eritrea,34.1
Estonia,10.3
Ethiopia,32.4
Faroe Islands,13.2
Fiji,20.1
Finland,10.5
France,12.4
French Polynesia,16.2
Gabon,30.2
"Gambia, The",42.1
Georgia,13.5
Germany,8.6
Ghana,32.7
Greece,8.5
Greenland,14.3
Grenada,19.2
Guam,17.3
Guatemala,27.1
Guinea,36.9
Guinea-Bissau,37.1
Guyana,19.1
Haiti,25
Honduras,21.2
"Hong Kong SAR, China",8.6
Hungary,9.5
Iceland,13.4
India,20
Indonesia,20
"Iran, Islamic Rep.",17.5
Iraq,34.6
Ireland,14.4
Isle of Man,..
Israel,21.3
Italy,8.3
Jamaica,13.5
Japan,8
Jordan,27.1
Kazakhstan,23.1
Kenya,34.6
Kiribati,28.8
"Korea, Dem. People’s Rep.",14.3
"Korea, Rep.",8.6
Kosovo,17.4
Kuwait,20.1
Kyrgyz Republic,27.7
Lao PDR,26.7
Latvia,10.9
Lebanon,15.2
Lesotho,28.6
Liberia,35.1
Libya,20.9
Liechtenstein,9.9
Lithuania,10.4
Luxembourg,10.9
"Macao SAR, China",11.5
"Macedonia, FYR",11.3
Madagascar,34.5
Malawi,39
Malaysia,16.8
Maldives,21.2
Mali,43.5
Malta,9.8
Marshall Islands,..
Mauritania,33.4
Mauritius,10.6
Mexico,18.8
"Micronesia, Fed. Sts.",23.5
Moldova,10.7
Monaco,..
Mongolia,23.9
Montenegro,11.6
Morocco,20.8
Mozambique,39.3
Myanmar,17.8
Namibia,29.7
Nepal,20.5
Netherlands,10.4
New Caledonia,16.6
New Zealand,12.7
Nicaragua,20.4
Niger,49.4
Nigeria,39.6
Northern Mariana Islands,..
Norway,11.5
Oman,19.9
Pakistan,29.2
Palau,..
Panama,19.4
Papua New Guinea,28.5
Paraguay,21.4
Peru,19.9
Philippines,23.6
Poland,9.9
Portugal,7.9
Puerto Rico,9.7
Qatar,11.9
Romania,9.2
Russian Federation,13.3
Rwanda,31.9
Samoa,25.6
San Marino,9.1
Sao Tome and Principe,34.1
Saudi Arabia,20.1
Senegal,38.1
Serbia,9.3
Seychelles,17
Sierra Leone,36.1
Singapore,9.8
Sint Maarten (Dutch part),..
Slovak Republic,10.2
Slovenia,10.3
Solomon Islands,29.9
Somalia,43.6
South Africa,20.7
South Sudan,36.8
Spain,9.2
Sri Lanka,15.9
St. Kitts and Nevis,..
St. Lucia,15.2
St. Martin (French part),15.7
St. Vincent and the Grenadines,16
Sudan,33.1
Suriname,18.2
Swaziland,29.7
Sweden,11.9
Switzerland,10.2
Syrian Arab Republic,23.1
Tajikistan,30.6
Tanzania,39
Thailand,10.8
Timor-Leste,37.8
Togo,35.6
Tonga,24.8
Trinidad and Tobago,14.3
Tunisia,19.2
Turkey,16.8
Turkmenistan,21.1
Turks and Caicos Islands,..
Tuvalu,..
Uganda,43
Ukraine,10.8
United Arab Emirates,10.8
United Kingdom,12
United States,12.5
Uruguay,14.3
Uzbekistan,23.3
Vanuatu,26.5
"Venezuela, RB",19.6
Vietnam,17.2
Virgin Islands (U.S.),10.5
West Bank and Gaza,32.7
"Yemen, Rep.",32.4
Zambia,40.1
Zimbabwe,35.2
